sample_id,field_id,red,green,blue,reaction_time_sec,sample_temperature_c,lab_olsen_p_mg_kg,region,soil_type,measurement_date,data_source
S0042,F009,143.5,193.8,231.9,474.0,16.0,12.45,Farg'ona,Bo'z tuproq,2025-05-28,SYNTHETIC_DEMO
S0043,F009,138.9,191.7,228.7,898.0,24.3,9.64,Farg'ona,Bo'z tuproq,2025-06-02,SYNTHETIC_DEMO
S0044,F009,184.3,218.6,236.2,143.0,20.5,12.72,Farg'ona,Bo'z tuproq,2025-06-18,SYNTHETIC_DEMO
S0045,F009,196.6,218.1,238.2,160.0,14.0,12.16,Farg'ona,Bo'z tuproq,2025-03-05,SYNTHETIC_DEMO
S0046,F009,112.0,176.9,222.4,722.0,29.4,10.39,Farg'ona,Bo'z tuproq,2025-04-23,SYNTHETIC_DEMO
S0047,F010,168.5,207.8,229.1,885.0,17.1,4.58,Qashqadaryo,O'tloqi-bo'z,2025-04-19,SYNTHETIC_DEMO
S0048,F010,209.2,224.4,236.4,263.0,18.7,4.29,Qashqadaryo,O'tloqi-bo'z,2025-03-21,SYNTHETIC_DEMO
S0049,F010,186.5,218.1,233.4,355.0,16.6,5.83,Qashqadaryo,O'tloqi-bo'z,2025-05-22,SYNTHETIC_DEMO
S0050,F010,187.9,210.8,232.7,213.0,24.3,6.59,Qashqadaryo,O'tloqi-bo'z,2025-04-18,SYNTHETIC_DEMO
S0051,F011,182.9,207.9,232.1,148.0,22.5,9.86,Sirdaryo,Sur-qo'ng'ir,2025-05-10,SYNTHETIC_DEMO
S0052,F011,121.9,171.7,218.8,629.0,27.1,14.3,Sirdaryo,Sur-qo'ng'ir,2025-06-24,SYNTHETIC_DEMO
S0053,F011,87.3,150.8,211.6,811.0,26.9,15.03,Sirdaryo,Sur-qo'ng'ir,2025-05-01,SYNTHETIC_DEMO
S0054,F011,103.5,162.9,217.3,777.0,25.8,11.99,Sirdaryo,Sur-qo'ng'ir,2025-06-17,SYNTHETIC_DEMO
S0055,F011,133.1,181.1,213.7,788.0,30.8,8.33,Sirdaryo,Sur-qo'ng'ir,2025-03-02,SYNTHETIC_DEMO
S0056,F011,71.8,143.2,206.8,722.0,21.2,19.13,Sirdaryo,Sur-qo'ng'ir,2025-05-20,SYNTHETIC_DEMO
S0057,F011,154.2,191.1,222.8,248.0,20.6,14.68,Sirdaryo,Sur-qo'ng'ir,2025-03-26,SYNTHETIC_DEMO
S0058,F012,135.8,189.8,231.6,458.0,31.8,8.45,Jizzax,Allyuvial,2025-03-10,SYNTHETIC_DEMO
S0059,F012,138.3,187.3,228.2,502.0,29.7,10.8,Jizzax,Allyuvial,2025-05-06,SYNTHETIC_DEMO
S0060,F012,148.7,198.0,233.2,715.0,25.0,9.42,Jizzax,Allyuvial,2025-05-17,SYNTHETIC_DEMO
S0061,F012,133.6,186.3,225.9,785.0,23.6,9.25,Jizzax,Allyuvial,2025-03-03,SYNTHETIC_DEMO
S0062,F012,142.0,191.4,228.6,612.0,20.2,10.46,Jizzax,Allyuvial,2025-04-17,SYNTHETIC_DEMO
S0063,F013,136.4,182.3,221.2,614.0,16.7,7.98,Buxoro,Bo'z tuproq,2025-04-03,SYNTHETIC_DEMO
S0064,F013,136.0,177.9,217.0,730.0,18.6,9.62,Buxoro,Bo'z tuproq,2025-04-20,SYNTHETIC_DEMO
S0065,F013,132.8,184.2,219.4,345.0,33.1,9.94,Buxoro,Bo'z tuproq,2025-06-25,SYNTHETIC_DEMO
S0066,F013,107.7,162.4,211.3,883.0,26.6,12.67,Buxoro,Bo'z tuproq,2025-04-23,SYNTHETIC_DEMO
S0067,F013,115.8,167.6,217.4,411.0,26.7,11.79,Buxoro,Bo'z tuproq,2025-06-07,SYNTHETIC_DEMO
S0068,F014,155.3,202.6,230.4,789.0,24.2,6.5,Farg'ona,O'tloqi-bo'z,2025-03-29,SYNTHETIC_DEMO
S0069,F014,207.5,223.0,233.8,305.0,11.9,6.45,Farg'ona,O'tloqi-bo'z,2025-03-14,SYNTHETIC_DEMO
S0070,F014,186.7,221.9,244.3,266.0,26.9,5.07,Farg'ona,O'tloqi-bo'z,2025-04-02,SYNTHETIC_DEMO
S0071,F014,201.5,223.7,245.3,227.0,27.1,4.81,Farg'ona,O'tloqi-bo'z,2025-03-13,SYNTHETIC_DEMO
S0072,F014,203.0,229.2,239.0,278.0,25.6,3.67,Farg'ona,O'tloqi-bo'z,2025-04-13,SYNTHETIC_DEMO
S0073,F014,177.0,210.2,238.1,542.0,22.3,4.95,Farg'ona,O'tloqi-bo'z,2025-06-27,SYNTHETIC_DEMO
S0074,F014,179.5,213.3,242.9,630.0,20.4,6.16,Farg'ona,O'tloqi-bo'z,2025-05-29,SYNTHETIC_DEMO
S0075,F015,89.4,157.6,210.5,646.0,21.8,15.7,Qashqadaryo,Sur-qo'ng'ir,2025-04-27,SYNTHETIC_DEMO
S0076,F015,105.7,166.5,211.1,458.0,28.8,12.67,Qashqadaryo,Sur-qo'ng'ir,2025-06-27,SYNTHETIC_DEMO
S0077,F015,129.0,186.0,220.3,364.0,22.8,11.6,Qashqadaryo,Sur-qo'ng'ir,2025-04-24,SYNTHETIC_DEMO
S0078,F015,99.8,158.2,215.1,427.0,27.2,14.11,Qashqadaryo,Sur-qo'ng'ir,2025-04-02,SYNTHETIC_DEMO
S0079,F015,141.4,194.0,219.2,456.0,22.2,8.62,Qashqadaryo,Sur-qo'ng'ir,2025-04-28,SYNTHETIC_DEMO
S0080,F015,130.1,182.2,225.6,298.0,25.4,11.04,Qashqadaryo,Sur-qo'ng'ir,2025-05-12,SYNTHETIC_DEMO
S0081,F015,99.4,155.9,208.2,837.0,24.8,13.55,Qashqadaryo,Sur-qo'ng'ir,2025-03-06,SYNTHETIC_DEMO
S0082,F016,56.6,128.8,198.5,603.0,26.6,21.89,Sirdaryo,Allyuvial,2025-03-01,SYNTHETIC_DEMO
S0083,F016,43.2,111.4,191.5,888.0,29.7,32.05,Sirdaryo,Allyuvial,2025-05-01,SYNTHETIC_DEMO
S0084,F016,116.9,171.8,213.8,181.0,25.7,26.12,Sirdaryo,Allyuvial,2025-04-19,SYNTHETIC_DEMO
S0085,F016,54.7,124.9,194.1,367.0,25.3,28.38,Sirdaryo,Allyuvial,2025-06-04,SYNTHETIC_DEMO
S0086,F016,162.0,199.4,227.6,123.0,23.6,16.0,Sirdaryo,Allyuvial,2025-04-30,SYNTHETIC_DEMO
S0087,F017,163.9,205.0,230.7,350.0,26.0,8.1,Jizzax,Bo'z tuproq,2025-03-07,SYNTHETIC_DEMO
S0088,F017,140.0,191.3,225.9,596.0,18.6,9.34,Jizzax,Bo'z tuproq,2025-05-26,SYNTHETIC_DEMO
S0089,F017,143.9,188.5,221.6,521.0,23.0,9.08,Jizzax,Bo'z tuproq,2025-06-27,SYNTHETIC_DEMO
S0090,F017,137.8,192.0,219.1,652.0,25.4,7.25,Jizzax,Bo'z tuproq,2025-06-14,SYNTHETIC_DEMO
S0091,F017,129.4,187.7,226.9,416.0,23.4,8.58,Jizzax,Bo'z tuproq,2025-05-28,SYNTHETIC_DEMO
S0092,F017,142.9,192.8,221.5,795.0,19.5,10.09,Jizzax,Bo'z tuproq,2025-06-27,SYNTHETIC_DEMO
S0093,F018,39.7,103.0,187.7,595.0,28.3,31.52,Buxoro,O'tloqi-bo'z,2025-04-10,SYNTHETIC_DEMO
S0094,F018,61.9,138.8,202.1,222.0,25.7,25.59,Buxoro,O'tloqi-bo'z,2025-04-15,SYNTHETIC_DEMO
S0095,F018,35.2,106.0,189.0,807.0,20.5,27.12,Buxoro,O'tloqi-bo'z,2025-03-16,SYNTHETIC_DEMO
S0096,F018,53.7,129.2,201.0,868.0,24.3,22.76,Buxoro,O'tloqi-bo'z,2025-03-06,SYNTHETIC_DEMO
S0097,F018,37.3,105.8,192.7,823.0,28.7,30.1,Buxoro,O'tloqi-bo'z,2025-03-27,SYNTHETIC_DEMO
S0098,F019,217.4,224.3,231.0,249.0,24.2,2.49,Farg'ona,Sur-qo'ng'ir,2025-06-10,SYNTHETIC_DEMO
S0099,F019,193.3,223.2,230.0,713.0,23.3,2.55,Farg'ona,Sur-qo'ng'ir,2025-04-14,SYNTHETIC_DEMO
S0100,F019,201.7,217.6,234.4,780.0,20.2,2.93,Farg'ona,Sur-qo'ng'ir,2025-05-08,SYNTHETIC_DEMO
S0101,F019,206.7,220.6,233.0,534.0,30.8,2.13,Farg'ona,Sur-qo'ng'ir,2025-06-13,SYNTHETIC_DEMO
S0102,F019,203.1,221.5,232.0,503.0,23.2,2.66,Farg'ona,Sur-qo'ng'ir,2025-03-11,SYNTHETIC_DEMO
S0103,F019,202.1,223.4,234.4,248.0,26.9,3.62,Farg'ona,Sur-qo'ng'ir,2025-04-27,SYNTHETIC_DEMO
S0104,F020,153.7,199.9,234.1,266.0,9.3,16.63,Qashqadaryo,Allyuvial,2025-04-18,SYNTHETIC_DEMO
S0105,F020,139.8,186.2,227.4,159.0,30.9,15.64,Qashqadaryo,Allyuvial,2025-03-26,SYNTHETIC_DEMO
S0106,F020,100.9,162.6,220.9,618.0,23.8,14.29,Qashqadaryo,Allyuvial,2025-06-19,SYNTHETIC_DEMO
S0107,F020,76.5,144.4,214.3,613.0,25.1,15.69,Qashqadaryo,Allyuvial,2025-05-18,SYNTHETIC_DEMO
S0108,F020,76.9,144.5,211.1,861.0,16.3,16.42,Qashqadaryo,Allyuvial,2025-05-11,SYNTHETIC_DEMO
S0109,F020,68.6,141.8,211.9,705.0,27.0,20.72,Qashqadaryo,Allyuvial,2025-05-28,SYNTHETIC_DEMO
S0110,F020,77.9,148.2,210.1,558.0,27.8,15.76,Qashqadaryo,Allyuvial,2025-05-28,SYNTHETIC_DEMO
S0111,F021,128.0,189.9,224.8,631.0,27.8,8.17,Sirdaryo,Bo'z tuproq,2025-03-12,SYNTHETIC_DEMO
S0112,F021,159.2,204.7,233.4,641.0,24.3,7.09,Sirdaryo,Bo'z tuproq,2025-05-28,SYNTHETIC_DEMO
S0113,F021,147.8,195.4,233.0,667.0,22.2,10.21,Sirdaryo,Bo'z tuproq,2025-03-25,SYNTHETIC_DEMO
S0114,F021,142.6,195.4,227.1,655.0,26.4,9.22,Sirdaryo,Bo'z tuproq,2025-06-10,SYNTHETIC_DEMO
S0115,F021,154.9,198.5,230.1,545.0,27.5,7.34,Sirdaryo,Bo'z tuproq,2025-06-11,SYNTHETIC_DEMO
S0116,F021,160.8,210.3,228.3,883.0,17.8,7.86,Sirdaryo,Bo'z tuproq,2025-05-12,SYNTHETIC_DEMO
S0117,F021,158.9,198.1,234.6,321.0,26.2,8.53,Sirdaryo,Bo'z tuproq,2025-05-17,SYNTHETIC_DEMO
S0118,F022,124.0,178.5,221.1,724.0,18.4,11.06,Jizzax,O'tloqi-bo'z,2025-06-09,SYNTHETIC_DEMO
S0119,F022,68.5,138.8,203.4,848.0,31.2,16.97,Jizzax,O'tloqi-bo'z,2025-03-27,SYNTHETIC_DEMO
S0120,F022,136.1,186.9,224.8,769.0,27.3,8.0,Jizzax,O'tloqi-bo'z,2025-05-19,SYNTHETIC_DEMO
S0121,F022,122.1,178.9,222.2,900.0,23.7,9.83,Jizzax,O'tloqi-bo'z,2025-03-22,SYNTHETIC_DEMO
S0122,F023,91.9,160.0,213.7,769.0,20.0,15.01,Buxoro,Sur-qo'ng'ir,2025-03-27,SYNTHETIC_DEMO
S0123,F023,99.2,159.3,218.5,806.0,29.7,14.85,Buxoro,Sur-qo'ng'ir,2025-06-16,SYNTHETIC_DEMO
S0124,F023,121.9,175.2,221.6,724.0,23.1,10.6,Buxoro,Sur-qo'ng'ir,2025-04-02,SYNTHETIC_DEMO
S0125,F023,106.9,166.1,218.7,759.0,30.9,13.8,Buxoro,Sur-qo'ng'ir,2025-06-07,SYNTHETIC_DEMO
S0126,F023,148.0,196.5,231.9,482.0,12.4,15.13,Buxoro,Sur-qo'ng'ir,2025-04-10,SYNTHETIC_DEMO
S0127,F024,111.1,172.0,226.7,227.0,21.2,17.56,Farg'ona,Allyuvial,2025-04-24,SYNTHETIC_DEMO
S0128,F024,104.3,167.0,228.7,632.0,22.7,16.97,Farg'ona,Allyuvial,2025-03-24,SYNTHETIC_DEMO
S0129,F024,171.1,206.8,235.5,159.0,18.3,14.87,Farg'ona,Allyuvial,2025-04-11,SYNTHETIC_DEMO
S0130,F024,100.8,160.5,220.6,331.0,26.1,18.85,Farg'ona,Allyuvial,2025-05-07,SYNTHETIC_DEMO
S0131,F025,179.6,216.4,238.3,487.0,29.0,4.32,Qashqadaryo,Bo'z tuproq,2025-03-21,SYNTHETIC_DEMO
S0132,F025,206.7,227.5,237.1,287.0,18.7,3.95,Qashqadaryo,Bo'z tuproq,2025-03-22,SYNTHETIC_DEMO
S0133,F025,195.3,217.1,234.4,163.0,35.4,4.08,Qashqadaryo,Bo'z tuproq,2025-04-08,SYNTHETIC_DEMO
S0134,F025,222.5,238.8,239.9,204.0,14.9,3.37,Qashqadaryo,Bo'z tuproq,2025-05-23,SYNTHETIC_DEMO
S0135,F025,194.1,221.8,237.2,154.0,26.6,5.41,Qashqadaryo,Bo'z tuproq,2025-05-03,SYNTHETIC_DEMO
S0136,F025,185.8,216.3,236.0,509.0,24.4,4.22,Qashqadaryo,Bo'z tuproq,2025-06-26,SYNTHETIC_DEMO
S0137,F025,162.4,200.8,227.9,580.0,32.4,5.29,Qashqadaryo,Bo'z tuproq,2025-03-13,SYNTHETIC_DEMO
S0138,F026,143.4,187.8,226.7,634.0,20.4,7.95,Sirdaryo,O'tloqi-bo'z,2025-05-08,SYNTHETIC_DEMO
S0139,F026,112.2,169.6,212.5,423.0,28.0,12.03,Sirdaryo,O'tloqi-bo'z,2025-03-22,SYNTHETIC_DEMO
S0140,F026,145.3,187.9,222.2,161.0,31.2,10.11,Sirdaryo,O'tloqi-bo'z,2025-05-11,SYNTHETIC_DEMO
S0141,F026,90.3,153.1,213.3,559.0,22.9,12.83,Sirdaryo,O'tloqi-bo'z,2025-05-08,SYNTHETIC_DEMO
S0142,F026,131.9,180.8,218.3,805.0,34.0,6.23,Sirdaryo,O'tloqi-bo'z,2025-06-03,SYNTHETIC_DEMO
S0143,F026,121.8,175.4,218.2,873.0,16.1,8.33,Sirdaryo,O'tloqi-bo'z,2025-04-16,SYNTHETIC_DEMO
S0144,F026,148.7,182.0,221.3,560.0,11.6,9.9,Sirdaryo,O'tloqi-bo'z,2025-06-06,SYNTHETIC_DEMO
S0145,F027,124.2,174.3,218.0,139.0,25.9,22.67,Jizzax,Sur-qo'ng'ir,2025-04-06,SYNTHETIC_DEMO
S0146,F027,141.8,192.3,227.7,151.0,28.8,10.47,Jizzax,Sur-qo'ng'ir,2025-03-23,SYNTHETIC_DEMO
S0147,F027,67.3,137.0,211.1,436.0,26.1,18.78,Jizzax,Sur-qo'ng'ir,2025-03-12,SYNTHETIC_DEMO
S0148,F027,98.4,170.4,215.7,456.0,26.2,13.31,Jizzax,Sur-qo'ng'ir,2025-05-05,SYNTHETIC_DEMO
S0149,F027,139.3,193.4,225.1,155.0,26.8,15.52,Jizzax,Sur-qo'ng'ir,2025-04-06,SYNTHETIC_DEMO
S0150,F027,99.3,154.7,215.9,563.0,22.7,14.45,Jizzax,Sur-qo'ng'ir,2025-05-01,SYNTHETIC_DEMO
S0151,F028,148.5,199.9,234.3,767.0,28.1,7.0,Buxoro,Allyuvial,2025-04-16,SYNTHETIC_DEMO
S0152,F028,171.6,210.5,231.7,878.0,30.1,5.99,Buxoro,Allyuvial,2025-05-05,SYNTHETIC_DEMO
S0153,F028,188.8,225.2,238.5,180.0,25.7,7.32,Buxoro,Allyuvial,2025-06-12,SYNTHETIC_DEMO
S0154,F028,165.0,212.6,235.3,291.0,23.1,7.76,Buxoro,Allyuvial,2025-03-25,SYNTHETIC_DEMO
S0155,F028,190.3,219.5,241.3,272.0,27.5,4.99,Buxoro,Allyuvial,2025-06-12,SYNTHETIC_DEMO
S0156,F029,197.2,223.3,240.4,296.0,29.0,3.92,Farg'ona,Bo'z tuproq,2025-05-13,SYNTHETIC_DEMO
S0157,F029,179.6,215.9,236.8,645.0,28.1,4.23,Farg'ona,Bo'z tuproq,2025-04-08,SYNTHETIC_DEMO
S0158,F029,193.6,213.9,236.9,508.0,25.2,4.13,Farg'ona,Bo'z tuproq,2025-06-19,SYNTHETIC_DEMO
S0159,F029,179.1,220.9,242.3,583.0,31.2,4.61,Farg'ona,Bo'z tuproq,2025-04-20,SYNTHETIC_DEMO
S0160,F029,211.6,236.2,243.1,167.0,26.5,4.71,Farg'ona,Bo'z tuproq,2025-06-01,SYNTHETIC_DEMO
S0161,F029,161.7,207.6,238.1,637.0,28.8,6.12,Farg'ona,Bo'z tuproq,2025-05-15,SYNTHETIC_DEMO
S0162,F030,194.6,217.2,238.2,275.0,23.9,4.66,Qashqadaryo,O'tloqi-bo'z,2025-05-29,SYNTHETIC_DEMO
S0163,F030,189.9,215.9,233.3,274.0,26.2,4.51,Qashqadaryo,O'tloqi-bo'z,2025-05-30,SYNTHETIC_DEMO
S0164,F030,203.3,219.9,229.9,235.0,24.9,3.92,Qashqadaryo,O'tloqi-bo'z,2025-04-12,SYNTHETIC_DEMO
S0165,F030,182.9,211.6,228.6,730.0,18.2,4.69,Qashqadaryo,O'tloqi-bo'z,2025-03-22,SYNTHETIC_DEMO
S0166,F030,204.2,219.6,232.5,426.0,13.5,5.19,Qashqadaryo,O'tloqi-bo'z,2025-03-22,SYNTHETIC_DEMO
S0167,F030,185.0,217.6,229.6,408.0,15.6,5.13,Qashqadaryo,O'tloqi-bo'z,2025-05-14,SYNTHETIC_DEMO
S0168,F031,205.3,230.0,239.9,480.0,30.0,2.19,Sirdaryo,Sur-qo'ng'ir,2025-05-31,SYNTHETIC_DEMO
S0169,F031,223.6,233.4,245.2,205.0,19.2,1.83,Sirdaryo,Sur-qo'ng'ir,2025-05-06,SYNTHETIC_DEMO
S0170,F031,206.3,220.5,235.1,433.0,23.5,2.81,Sirdaryo,Sur-qo'ng'ir,2025-03-26,SYNTHETIC_DEMO
S0171,F031,226.9,235.4,238.8,165.0,21.1,1.85,Sirdaryo,Sur-qo'ng'ir,2025-03-21,SYNTHETIC_DEMO
S0172,F031,211.7,225.9,235.8,326.0,22.0,2.54,Sirdaryo,Sur-qo'ng'ir,2025-04-11,SYNTHETIC_DEMO
S0173,F031,217.2,232.2,239.1,455.0,16.1,2.1,Sirdaryo,Sur-qo'ng'ir,2025-06-24,SYNTHETIC_DEMO
S0174,F031,230.7,240.2,240.4,123.0,29.1,1.92,Sirdaryo,Sur-qo'ng'ir,2025-06-01,SYNTHETIC_DEMO
S0175,F032,154.7,197.6,222.6,272.0,21.7,11.99,Jizzax,Allyuvial,2025-03-20,SYNTHETIC_DEMO
S0176,F032,129.4,184.3,222.6,840.0,31.9,9.22,Jizzax,Allyuvial,2025-04-19,SYNTHETIC_DEMO
S0177,F032,141.2,187.2,222.3,482.0,26.5,9.1,Jizzax,Allyuvial,2025-03-15,SYNTHETIC_DEMO
S0178,F032,113.5,175.1,214.1,856.0,26.7,10.42,Jizzax,Allyuvial,2025-03-31,SYNTHETIC_DEMO
S0179,F033,97.0,155.5,214.0,782.0,32.0,13.34,Buxoro,Bo'z tuproq,2025-06-19,SYNTHETIC_DEMO
S0180,F033,125.7,180.0,224.0,729.0,29.4,9.46,Buxoro,Bo'z tuproq,2025-03-06,SYNTHETIC_DEMO
S0181,F033,200.6,228.4,239.4,212.0,16.5,6.58,Buxoro,Bo'z tuproq,2025-06-07,SYNTHETIC_DEMO
S0182,F033,143.5,188.9,230.7,312.0,26.7,8.44,Buxoro,Bo'z tuproq,2025-03-01,SYNTHETIC_DEMO
S0183,F033,124.7,181.2,221.6,888.0,18.5,11.21,Buxoro,Bo'z tuproq,2025-05-26,SYNTHETIC_DEMO
S0184,F034,143.7,198.4,230.0,809.0,26.3,7.42,Farg'ona,O'tloqi-bo'z,2025-04-15,SYNTHETIC_DEMO
S0185,F034,174.8,206.3,235.2,292.0,18.9,9.55,Farg'ona,O'tloqi-bo'z,2025-05-30,SYNTHETIC_DEMO
S0186,F034,132.4,186.5,222.6,857.0,21.3,10.57,Farg'ona,O'tloqi-bo'z,2025-03-04,SYNTHETIC_DEMO
S0187,F034,173.9,210.1,234.8,312.0,15.3,7.86,Farg'ona,O'tloqi-bo'z,2025-06-20,SYNTHETIC_DEMO
S0188,F034,100.7,162.6,210.6,471.0,25.3,15.54,Farg'ona,O'tloqi-bo'z,2025-05-03,SYNTHETIC_DEMO
S0189,F034,127.7,185.3,220.6,878.0,24.6,11.15,Farg'ona,O'tloqi-bo'z,2025-03-23,SYNTHETIC_DEMO
S0190,F035,154.8,201.5,235.3,765.0,21.4,7.28,Qashqadaryo,Sur-qo'ng'ir,2025-06-21,SYNTHETIC_DEMO
S0191,F035,185.1,220.5,240.4,390.0,17.2,7.42,Qashqadaryo,Sur-qo'ng'ir,2025-05-25,SYNTHETIC_DEMO
S0192,F035,157.4,205.3,234.8,378.0,27.4,8.55,Qashqadaryo,Sur-qo'ng'ir,2025-04-24,SYNTHETIC_DEMO
S0193,F035,182.1,221.3,247.1,350.0,21.2,5.98,Qashqadaryo,Sur-qo'ng'ir,2025-05-22,SYNTHETIC_DEMO
S0194,F036,151.5,190.5,232.8,469.0,23.3,8.69,Sirdaryo,Allyuvial,2025-05-21,SYNTHETIC_DEMO
S0195,F036,112.4,165.8,216.6,489.0,32.5,10.05,Sirdaryo,Allyuvial,2025-06-28,SYNTHETIC_DEMO
S0196,F036,148.2,195.2,227.1,522.0,11.8,11.0,Sirdaryo,Allyuvial,2025-05-28,SYNTHETIC_DEMO
S0197,F036,164.8,200.8,221.6,289.0,15.7,11.21,Sirdaryo,Allyuvial,2025-03-26,SYNTHETIC_DEMO
S0198,F036,122.6,175.4,217.1,854.0,21.8,10.69,Sirdaryo,Allyuvial,2025-05-08,SYNTHETIC_DEMO
